,layer,pos,prob
180,36,0,9.792264791030902e-06
181,36,1,9.984764801629353e-06
182,36,2,1.3471419151755981e-05
183,36,3,3.1269450118998066e-05
184,36,4,0.5236943364143372
185,37,0,9.787591807253193e-06
186,37,1,1.0122691492142621e-05
187,37,2,1.3381762073549908e-05
188,37,3,2.348320595046971e-05
189,37,4,0.5763407945632935
190,38,0,9.770007636689115e-06
191,38,1,9.675807632447686e-06
192,38,2,1.223102935909992e-05
193,38,3,2.078447687381413e-05
194,38,4,0.5102497935295105
195,39,0,9.712166502140462e-06
196,39,1,9.250989933207165e-06
197,39,2,1.1851094313897192e-05
198,39,3,1.6071788195404224e-05
199,39,4,0.4644632637500763
200,40,0,9.713162398838904e-06
201,40,1,9.034661161422264e-06
202,40,2,1.1536974852788262e-05
203,40,3,1.4293406820797827e-05
204,40,4,0.45385071635246277
205,41,0,9.74749491433613e-06
206,41,1,9.161902198684402e-06
207,41,2,1.1172632184752729e-05
208,41,3,1.5081620404089335e-05
209,41,4,0.4509522318840027
210,42,0,9.697007044451311e-06
211,42,1,9.421759386896156e-06
212,42,2,1.0544979886617512e-05
213,42,3,1.273673478863202e-05
214,42,4,0.4275952875614166
215,43,0,9.718537512526382e-06
216,43,1,8.563553819840308e-06
217,43,2,1.0232763997919392e-05
218,43,3,9.55144514591666e-06
219,43,4,0.4256054162979126
220,44,0,9.745292118168436e-06
221,44,1,8.821904884825926e-06
222,44,2,1.0095855031977408e-05
223,44,3,1.020654963213019e-05
224,44,4,0.3918469548225403
225,45,0,9.793904609978199e-06
226,45,1,8.982491635833867e-06
227,45,2,1.018244893202791e-05
228,45,3,1.031534975481918e-05
229,45,4,0.39842694997787476
230,46,0,9.71934696281096e-06
231,46,1,9.220319043379277e-06
232,46,2,1.03164366009878e-05
233,46,3,1.0379836567153689e-05
234,46,4,0.40013477206230164
235,47,0,9.735302228364162e-06
236,47,1,9.735302228364162e-06
237,47,2,9.735302228364162e-06
238,47,3,9.735302228364162e-06
239,47,4,0.4265737533569336
