,layer,pos,prob
118,23,3,5.949250771664083e-05
119,23,4,0.0010806001955643296
120,24,0,9.713441613712348e-06
121,24,1,8.103133950498886e-06
122,24,2,1.4769882000109646e-05
123,24,3,6.745254358975217e-05
124,24,4,0.0010020124027505517
125,25,0,9.709368896437809e-06
126,25,1,9.711612619867083e-06
127,25,2,1.3051769201410934e-05
128,25,3,7.204260327853262e-05
129,25,4,0.0011300488840788603
130,26,0,9.706992386782076e-06
131,26,1,7.650455700058956e-06
132,26,2,1.1614154573180713e-05
133,26,3,4.447779429028742e-05
134,26,4,0.002593525219708681
135,27,0,9.709960067993961e-06
136,27,1,9.933785804605577e-06
137,27,2,1.1418174835853279e-05
138,27,3,1.4358977750816848e-05
139,27,4,0.003181539010256529
140,28,0,9.697609129943885e-06
141,28,1,8.586217518313788e-06
142,28,2,1.2985961802769452e-05
143,28,3,1.6751007933635265e-05
144,28,4,0.004234232474118471
145,29,0,9.692027560959104e-06
146,29,1,9.249726645066403e-06
147,29,2,1.2057395906595048e-05
148,29,3,1.774787415342871e-05
149,29,4,0.01101472694426775
150,30,0,9.705380762170535e-06
151,30,1,1.0732603186625056e-05
152,30,2,1.1204421753063798e-05
153,30,3,1.99559835891705e-05
154,30,4,0.009123739786446095
155,31,0,9.714844054542482e-06
156,31,1,1.0107437447004486e-05
157,31,2,1.168970629805699e-05
158,31,3,1.7634827599977143e-05
159,31,4,0.00764879398047924
160,32,0,9.71898316493025e-06
161,32,1,9.536750440020114e-06
162,32,2,1.2084918125765398e-05
163,32,3,1.540825360279996e-05
164,32,4,0.014158482663333416
165,33,0,9.718212822917849e-06
166,33,1,9.311373105447274e-06
167,33,2,1.1817408449132927e-05
168,33,3,1.4185960935719777e-05
169,33,4,0.014423754066228867
170,34,0,9.710588528832886e-06
171,34,1,9.957597285392694e-06
172,34,2,1.1893170267285313e-05
173,34,3,1.3913225302530918e-05
174,34,4,0.013730568811297417
175,35,0,9.709081496112049e-06
176,35,1,1.0018626198871061e-05
177,35,2,1.2507877727330197e-05
178,35,3,1.2434013115125708e-05
179,35,4,0.018776187673211098
180,36,0,9.715035048429854e-06
181,36,1,9.849153684626799e-06
182,36,2,1.1863408872159198e-05
183,36,3,1.3524572750611696e-05
184,36,4,0.013407531194388866
185,37,0,9.715548003441654e-06
186,37,1,1.0115862096427009e-05
187,37,2,1.159904059022665e-05
188,37,3,1.2756891010212712e-05
189,37,4,0.022962920367717743
190,38,0,9.725448762765154e-06
191,38,1,9.96717790258117e-06
192,38,2,1.132357465394307e-05
193,38,3,1.0945792382699437e-05
194,38,4,0.015844259411096573
195,39,0,9.730006240715738e-06
196,39,1,1.001374221232254e-05
197,39,2,1.172784232039703e-05
198,39,3,1.0821931027749088e-05
199,39,4,0.00704514654353261
200,40,0,9.724945812195074e-06
201,40,1,1.0212446795776486e-05
202,40,2,1.1458390872576274e-05
203,40,3,1.0749622560979333e-05
204,40,4,0.001922614756040275
205,41,0,9.724693882162683e-06
206,41,1,1.0009339348471258e-05
207,41,2,1.1298554454697296e-05
208,41,3,9.963703632820398e-06
209,41,4,0.00018053932581096888
210,42,0,9.499345651420299e-06
211,42,1,9.832354407990351e-06
212,42,2,1.0706467946874909e-05
213,42,3,9.66500647336943e-06
214,42,4,1.76394732989138e-05
215,43,0,9.50178764469456e-06
216,43,1,9.772639714356046e-06
217,43,2,1.0188904525421094e-05
218,43,3,9.369176041218452e-06
219,43,4,6.454182766901795e-06
220,44,0,9.509637493465561e-06
221,44,1,9.326845429313835e-06
222,44,2,1.0326908522984013e-05
223,44,3,9.080709787667729e-06
224,44,4,2.4769499304966303e-06
225,45,0,9.510305062576663e-06
226,45,1,9.44533348956611e-06
227,45,2,9.957853762898594e-06
228,45,3,9.521974789095111e-06
229,45,4,1.516862880635017e-06
230,46,0,9.51093443291029e-06
231,46,1,9.590886293153744e-06
232,46,2,9.87946714303689e-06
233,46,3,9.698995199869387e-06
234,46,4,1.0864638397833914e-06
235,47,0,9.517279067949858e-06
236,47,1,9.473000318394043e-06
237,47,2,9.805111403693445e-06
238,47,3,9.539552593196277e-06
239,47,4,6.83512439536571e-07
