,layer,pos,prob
214,42,4,8.362881089851726e-06
215,43,0,9.740387213241775e-06
216,43,1,9.815405064728111e-06
217,43,2,9.827319445321336e-06
218,43,3,1.0760576515167486e-05
219,43,4,2.509061005184776e-06
220,44,0,9.740860150486697e-06
221,44,1,9.711036000226159e-06
222,44,2,9.832460818870459e-06
223,44,3,1.0190722605329938e-05
224,44,4,3.829221896012314e-06
225,45,0,9.74162594502559e-06
226,45,1,9.672622582002077e-06
227,45,2,9.789718205865938e-06
228,45,3,1.0003842362493742e-05
229,45,4,4.1822872844932135e-06
230,46,0,9.747442163643427e-06
231,46,1,9.608174877939746e-06
232,46,2,9.75071634456981e-06
233,46,3,1.0074852980324067e-05
234,46,4,3.6808476124861045e-06
235,47,0,9.746680007083341e-06
236,47,1,9.623609912523534e-06
237,47,2,9.732567377795931e-06
238,47,3,9.863020750344731e-06
239,47,4,3.81462541554356e-06
